id,sku,price,sku_seller,name,category,b2b_sku,product_id,tbmbpd_tbmb_id,status,alfacart_status,bundle,sku_status,stock,last_sync_stock
11299,A15740038008,18900,122412,"[LIVE ALFAMIDI] MASTER SPLASH COLOGNE POWER 150ML",18061,MA853HBABE7TQPANID-114638007,,8,27,27,,27,0,"2021-09-03 22:07:29.021"
5683,A11910039497,4900,214198,"Woods' Peppermint Lozenges Cherry 15g",9668,WO074WNAB21RLTANID-86768502,,8,27,27,,26,0,"2018-07-26 14:30:59.882"
15139,A14240035013,37900,400819,"NIVEA Make Up Clear White Toner 200ml",18381,NI453HBABSOWBNANID-145939421,,8,27,27,,27,107,"2022-05-24 22:09:09.891"
10308,A11640039337,18500,113264,"PRONAS Sardines Chili Sauce 425g",18381,PR325WNABE6WTLANID-114591933,,8,27,27,,27,0,"2022-05-24 22:08:43.217"
6932,A07520042193,10000,126709,"soKlin Softener 1x Bilas Antibacterial 300ml",18373,SO421WNAB5MZ3YANID-94142678,,8,27,27,,27,0,"2019-01-23 22:06:47.772"
4378,A13820005628,9900,320063,"Dove Shampoo Total Damage Tratment 70ml",3708,369137235_ID-393097727,,8,27,27,,26,0,"2018-03-08 13:30:29.911"
4298,A13070294419,69700,107322,"[MIDI SUPER] HiLo Gold Chocolate 500g",18471,HI108WNAB1KCB6ANID-85574381,,8,27,27,,27,0,"2022-06-02 22:08:37.704"
10486,A11911622525,19600,400052,"Mentos Purefresh Sweet 35g",9667,ME926WNABJTX4DANID-127090836,,8,27,27,,26,0,"2018-03-27 23:01:09.795"
26702,A6866880000954,47900.0,406055,"[LAZ] PHILIPS LED Cool Daylight 5W",16807,418088810_ID-470510553,,8,27,27,,26,0,"2018-11-09 15:14:06.319"
6109,A06730007056,46800,102740,"FRISIAN FLAG Primagro 3+ Susu Pertumbuhan Anak 4-6 Tahun Madu 400 g",13367,515786898_ID-703858153,,8,27,27,0,26,0,"2022-04-08 22:09:14.679"
15004,A09350041708,35600,150031,"Happy Soya Oil Pouch 1L",18420,HA423WNABQMNGMANID-141255177,,8,27,27,,26,0,"2022-05-11 22:07:17.614"
5787,A12470005984,49300,144165,"Wardah Soft Scrub Olive 150Ml",18381,WA362HBAB9JRQQANID-103695498,,8,27,27,,27,0,"2019-09-17 22:06:58.518"
26753,A6867160000984,23700.0,105038,"[LAZ] Kraft Singles Light 10'S 200G",18441,417667910_ID-469595617,,8,27,27,,26,32,"2022-06-02 22:07:09.12"
6727,A13820001104,26400,128488,"CLEAR Shampoo Super Fresh Apple 170ml",3708,369117665_ID-393075900,,8,27,27,,27,0,"2018-10-28 22:06:23.209"
27467,A6893540001075,39600,125091,"MOGU MOGU Coconut 320ml 4pcs",18481,427945095_ID-494003524,,8,27,27,4,27,127,"2022-06-02 22:08:04.248"
10738,A12520010532,11600,990082,"Prenagen Juice Delima Pet 300ml",18481,PR712WNABE76X2ANID-114605673,,8,27,27,,26,0,"2021-11-10 22:08:03.679"
16097,A10530643050,37100,62852,"Vidal Sassoon Sisir VS 201",3728,353406253_ID-368396275,,8,27,27,,27,0,"2022-05-31 22:12:31.683"
28909,A6667120001009,28900.0,103898,"Tango Wafer Chocolate 300 g",1111,514472452_ID-698330527,,8,26,27,0,26,0,"2022-04-02 22:09:56.784"
15330,A6391320001145,53900,405899,"[LIVE ALFAMART] Purbasari Hi-Matte Lip 03 6.5g",18381,343369403_ID-356480742,,8,27,27,,27,0,"2022-06-02 22:08:42.05"
29247,A6892520001022,10600,412305,"[DISCONTINUED] Stella Bathroom Pocket Red 10g",18403,515326423_ID-701782778,,8,27,27,0,26,32,"2022-06-02 22:08:00.731"
6390,A11310631959,19500,400485,"[MIDI SUPER] POND'S Facial Foam White Beauty Sun Dulnes 50g New",18381,,,8,27,27,,27,13,"2022-05-30 22:10:02.305"
27388,A6892980001057,12800,141011,"Big Babol Strawberry 20g 4pcs",9673,427936619_ID-494001564,,8,27,27,4,27,163,"2022-06-02 22:09:38.729"
5524,A10950632571,10800,321438,"[DUPLICATED] BIC Blade 2 2pcs",18670,369112928_ID-393082776,,8,27,27,,26,0,"2018-04-28 01:17:08.96"
4143,A12680002498,43500,124655,"Dove Body Wash Deeply Nourishing 400 ml",3642,DO423HBAB1JXK5ANID-85552590,,8,27,27,,26,247,"2022-06-02 22:09:16.051"
7217,A10770632089,27100,320864,"SHINZUI Body Lotion Sakura 210ml",3628,369125158_ID-393080536,,8,27,27,,27,3,"2022-06-02 22:06:58.981"
15174,A10080642465,1000000,407544,"[LIVE ALFAMART] Indofood Inti Gandum Chocolate 120g",18465,383708017_ID-416750001,,8,27,27,0,27,0,"2019-07-03 22:06:17.655"
4991,A32520000139,6000,401649,"Kimbo Reddi Ayam 69g",18451,AL341WNAB1JXHZANID-85552508,,8,27,27,,26,81,"2022-06-02 22:09:13.861"
5149,A09270809235,18500,177865,"Royal Gold Kecap Ikan 200ml",18418,RO383WNAB21POCANID-86765743,,8,27,27,,27,0,"2019-09-17 22:07:13.685"
9312,A07220041105,27100,128434,"Total Harum Bunga+Softener 1.3Kg",18377,TO833WNABE5JAKANID-114520079,,8,27,27,,27,0,"2018-12-18 22:06:52.702"
26739,A6867000001082,14600.0,400287,"[LAZ] BINTANG 0.0% Radler Can 330ml",18158,418100099_ID-470516574,,8,27,27,,26,0,"2018-11-09 15:14:06.396"
15482,A10210001467,31500,120885,"Selamat Chocolate Sandwich Biscuit Collections 240 g",10003484,345790500_ID-359419112,,8,26,27,0,26,0,"2020-05-30 07:01:24.705"
28905,A7071870001084,28900.0,413301,"Roma Wafello Wafer Choco Blast 234 g",1111,514468482_ID-698332542,,8,26,27,0,26,0,"2022-04-03 22:11:24.352"
5815,A12540039028,27100,321069,"[LIVE ALFAMIDI] Biore Body Lotion Smoothie Moisture 200ml",18190,BI568HBAB21PYYANID-86766289,,8,27,27,,27,0,"2018-07-13 11:02:18.375"
36662,A10212062374,24900.0,401596,"Alfamart Wafer Roll Cokelat 600 g",1111,1060560164_ID-1640330309,,8,26,27,0,26,0,"2021-04-28 07:01:27.986"
6718,A13740026864,11500,400031,"[LIVE ALFAMIDI] MAKARIZO H.VIT V.BLACK SHINE 6S",3718,,,8,27,27,,27,0,"2019-04-10 22:06:34.077"
9636,A09870893176,6700,220322,"[LIVE ALFAMIDI] Oishi Kriuk Kriuk Snack Ikan Balado 70g",18153,OI010WNABEFN7WANID-115076212,,8,27,27,,27,1,"2022-05-31 22:14:49.01"
26705,A6867040001065,9500.0,408656,"[LAZ] beng-beng Drink Chocolate 4X30g",9654,417674510_ID-469602249,,8,27,27,,26,30,"2022-06-02 22:06:54.866"
10799,A12540808309,29200,106833,"[LIVE ALFAMIDI] Enchanteur Perfumed Body Lotion Charming 200ml",18190,,,8,27,27,,27,3,"2022-05-31 22:13:29.501"
11868,A17600039250,10900,126499,"KENMASTER Car Wash Sponge S-01",17083,KE150OTABEC5GLANID-114884445,,8,27,27,,26,5,"2022-06-02 22:08:28.22"
15394,A10010643060,6800,407648,"Richeese Ahh Bite 50g",18153,,,8,27,27,,27,0,"2018-09-25 18:36:00.568"
4144,A12680002551,13600,122166,"[LIVE ALFAMIDI] Dettol Bar Soap Family Mix Variant 3X70G",3642,DE774HBAB1T6Z7ANID-86066977,,8,27,27,,27,0,"2019-08-21 14:05:35.179"
6704,A13680040837,31900,10959,"GATSBY Pomade For Men 80g",3781,GA078HBAB5HPLIANID-93857613,,8,27,27,0,26,5,"2022-05-30 22:09:34.366"
11881,A19570041854,12000,128792,"Gar'Da Kencana Kartu Remi",14031,369111471_ID-393062971,,8,27,27,,26,8,"2022-06-02 22:07:29.988"
5792,A12520026905,26100,107799,"[NEED TO CHECK] Sunkist Orange Juice 1 liter",18481,SU731WNAB21QCZANID-86766904,,8,27,27,,27,0,"2019-06-23 22:06:43.678"
6943,A08700006019,22200,215969,"Cussons Baby Cologne Lovely Kiss 100Ml",18381,CU445TBAB5MTI7ANID-94135349,,8,27,27,,27,0,"2021-09-07 22:07:41.4"
6463,A12300049431,10900,402128,"Esprecielo Vanila Green Tea 2's",11286,ES968WNAB6F87WANID-95752545,,8,27,27,,27,0,"2021-06-01 22:06:46.171"
23557,A03350000087,29900,156747,"FILMA Minyak Goreng Pouch 6 X 2L - Karton",18420,391893179_ID-428638170,,8,27,27,,26,388,"2022-06-02 22:06:44.623"
29218,A6731490001001,28300,411267,"Citra Pearly White Brightening Facial Foam 100 g",18216,515652890_ID-703082608,,8,27,27,0,26,155,"2022-06-02 22:10:00.922"
23346,A6661980001182,17900,407913,"Antangin Mint 5X15ml",6340,,,8,27,27,,26,2,"2022-06-01 22:11:04.68"
16036,A16900643044,21900,403470,"KRISBOW Sarung Tangan Karet",18381,,,8,27,27,,26,0,"2019-09-17 22:07:21.704"
9023,A03620303212,19300,400767,"[MIDI SUPER] Vanda Piring Kotak Pf1011 Doraemon 5.5 Inch",16466,,,8,27,27,,26,0,"2018-06-21 06:01:16.332"
5515,A10810632559,146900,310093,"PHYSIOGEL Cleanser 150ml",11401,PH351HBAB2S7W6ANID-88355155,,8,27,27,,27,0,"2019-09-05 22:07:41.115"
10319,A11640631919,58800,330084,"LIFREE Popok Celana XL3",6412,LI792HBABE9N98ANID-114734176,,8,27,27,,27,2,"2022-06-02 22:10:07.632"
10264,A11450632046,39200,401485,"[MIDI SUPER] PIXY Silky Fit Lipstick Semi Matte Nanami 117",3534,,,8,27,27,,26,0,"2018-04-18 01:35:04.826"
10335,A11760632498,41900,310130,"[MIDI SUPER] STIMUNO Syrup Original 100ml",18703,ST793TBABE79XUANID-114609888,,8,27,27,,27,4,"2022-05-30 22:10:42.164"
27119,A6886750001057,13500,115448,"mentos Permen Rainbow Stick 37g 3pcs",11284,425965904_ID-488937038,,8,27,27,3,27,0,"2022-06-02 22:09:26.252"
11012,A13170006398,8000,620098,"[LIVE ALFAMIDI] Cimory Soya Milk 300Ml",18475,CI761WNABE7FNBANID-114617918,,8,27,27,,27,0,"2018-10-23 22:00:50.501"
10852,A12680040154,39800,320574,"ORIGINAL SOURCE Body Wash Vanilla Raspberry 250ml",3642,369135176_ID-393100148,,8,27,27,,27,0,"2022-05-28 22:12:57.177"
11217,A14240005556,14300,9488,"Sariayu Mawar Toner 150ml",18381,SA906HBABE7D0ZANID-114614184,,8,27,27,,27,0,"2022-06-02 22:07:19.823"
4769,A17630253131,37100,5564,"[LIVE ALFAMIDI] Bayer Tonikum 330Ml",11382,BA803HBAB1TPMPANID-86095673,,8,27,27,,27,0,"2018-09-25 18:38:32.778"
4568,A14760846077,15600,102832,"[LIVE ALFAMIDI] Pigeon Dot Silicone Nipple L",18381,369109943_ID-393074942,,8,27,27,,27,5,"2022-06-02 22:09:35.408"
9701,A10000020558,24900,220527,"[NEED TO CHECK] Karunia Kacang Bali Manis 225g",9707,KA264WNABEU307ANID-115999507,,8,27,27,,27,0,"2019-08-06 16:06:19.624"
28890,A7097410001037,32500,120956,"Hollanda Wafer Kaleng 340g",10003484,,,8,27,27,0,26,0,"2022-04-08 22:10:07.584"
10789,A12540039291,8500,103497,"castella Whitening Body Lotion Almond & Milk 150ml",18190,369123337_ID-393099015,,8,27,27,,26,2,"2022-06-02 22:07:51.211"
9560,A09720049311,20900,402959,"PRONAS Daging Ayam Luncheon 198 g",18462,PR325WNABE5IW6ANID-114519373,,8,27,27,,26,4,"2022-06-02 22:07:37.07"
10730,A12520006406,44800,125692,"[NEED TO CHECK] RAUCH Happy Day Pineapple 1 liter",18381,515764093_ID-703472168,,8,27,27,,27,0,"2019-09-17 22:07:18.046"
5582,A11580631972,16200,221600,"ESKULIN Cologne Tuesday 100ml",18060,ES442HBAB21QDKANID-86766898,,8,27,27,,27,0,"2022-05-30 22:09:29.769"
7247,A11260011836,12700,125794,"Engel Mashed Potato Chili 45G",18449,EN670WNAB5SYFSANID-94490316,,8,27,27,,27,0,"2019-09-17 22:06:38.494"
6539,A12680002781,9100,191339,"Nuvo Body Wash Family 250Ml",3642,NU075HBAB5HQK7ANID-93858870,,8,27,27,,26,0,"2018-07-26 14:30:55.732"
27162,A6890320001097,14000,113961,"INDOMILK Krimer Kental Manis Sachet 6 x 37g 2pcs",18469,425968856_ID-488933257,,8,27,27,2,27,0,"2022-04-14 22:09:21.15"
6855,A06760006245,159900,108537,"morinaga Chil-Kid 3 Susu Pertumbuhan Anak 1-3 Tahun Vanila 800 g",1111,397889000_ID-436777006,,8,26,26,0,26,11,"2022-06-02 22:06:46.326"
5730,A12129896471,159200,125951,"Kapal Api Blue Mountain Blend 200g",18381,,,8,27,27,,27,0,"2019-09-17 22:07:12.666"
9026,A03620303197,30100,400771,"[MIDI SUPER] Vanda Baki Tf3101 Doraemon",16468,,,8,27,27,,26,0,"2018-08-23 15:05:44.309"
6220,A07520042178,14600,107385,"My Baby Fabric Softener Blue 700Ml",18372,MY684WNAB6D5DRANID-95633289,,8,27,27,,27,0,"2019-05-17 22:05:52.382"
29254,A6845090001077,29900,412413,"AXE Deep Clean Black Foam Control Oil Face Wash 100 g",18216,515652891_ID-703082609,,8,27,27,0,26,0,"2021-11-20 22:07:18.055"
6527,A12540004688,66700,126406,"Vaseline Healthy White Uv Hand Body Lotion Perfect 10 400Ml ",3628,VA422HBAB9H9KKANID-103562319,,8,27,27,,27,16,"2022-06-02 22:09:08.502"
3879,A06760303816,119000,210041,"Similac Gain Plus 3 Vanilla 400gr",13367,,,8,27,27,,26,0,"2018-07-26 14:30:52.323"
11877,A08140041515,34900,128351,"[LIVE ALFAMIDI] Eveready Senter Lc Led 2 Aa Sw",15528,369127205_ID-393077904,,8,27,27,,27,0,"2019-04-22 22:06:40.827"
7450,A12520007122,38900,990033,"[NEED TO CHECK] Dewlands Mango 1l",18381,DE904WNAB6BXHCANID-95561164,,8,27,27,,27,0,"2019-04-09 22:06:45.59"
7024,A09600048542,6100,170061,"Delmonte Saus Tomat 24X9g",18423,DE903WNAB5MXP8ANID-94140809,,8,27,27,,27,1,"2022-06-02 22:09:55.409"
4496,A14380632339,23500,403649,"ESKULIN Kids Hair Lotion 100ml",18752,369110633_ID-393072148,,8,27,27,,27,0,"2018-11-12 22:06:09.534"
4033,A07220042387,17700,224259,"[LIVE ALFAMIDI] Daia Detegent Lemon 900G",18381,DA492WNAB1JKS0ANID-85534686,,8,27,27,,26,25,"2022-06-02 22:09:35.875"
11609,A27830000029,37200,126462,"Yuri Porstex Pembersih Porselen & Keramik Biru 2L",16278,369127340_ID-393101086,,8,27,27,,26,13,"2022-06-02 22:09:57.686"
3969,A06970041755,29400,105168,"Swallow Kamper Deodorizer Ball S-106",18391,SW871WNAB1JPZRANID-85541908,,8,27,27,,26,0,"2022-05-29 22:08:52.596"
6681,A13330040985,12100,320610,"CLEAR Men Shampoo Deep Cleanse 70ml",18381,,,8,27,27,,27,0,"2018-10-21 22:00:52.344"
5947,A18300005734,15500,114135,"[DISCONTINUED] Glade Continuous Freshness Ocean Escape 8g",3241,GL791OTAB9JO64ANID-103690724,,8,27,27,,26,0,"2022-06-02 22:08:34.459"
27470,A6893570001080,4900.0,262018,"mizone Lychee Lemon 500ml 2pcs",18478,427939647_ID-493997961,,8,27,27,2,27,0,"2019-02-04 22:07:11.24"
28121,A6661370001009,7900,407094,"[NEED TO CHECK] Diabetasol High Fiber Bar Rasa Apel Kismis Kayu Manis 25g",10003479,454408401_ID-539930330,,8,27,27,0,27,0,"2019-09-17 22:06:30.164"
11862,A21960041253,80800,124961,"[NEED TO CHECK] Adinata Art Set Doraemon",13391,369102994_ID-393073388,,8,27,27,,27,0,"2019-03-25 22:06:17.975"
4806,A19100001687,30300,124658,"Pepsodent Expert Protection Pasta Gigi Gentle White 160 g",3735,PE063HBAB44FS6ANID-91082274,,8,27,27,0,26,0,"2022-01-25 22:09:37.61"
11401,A16620010351,15600,5383,"SALONPAS Liniment 30ml",18381,369123440_ID-393099137,,8,27,27,,27,0,"2019-09-13 22:06:53.161"
15378,A12940642492,2800,407742,"SAORI Saus Pedas Szechuan 33ml",18423,345810638_ID-359408921,,8,27,27,,26,39,"2022-06-02 22:09:02.786"
26828,A6796620001092,31500,126279,"POND'S MEN Energy Charge Face Wash 100g",18216,417675410_ID-469594650,,8,27,27,,26,275,"2022-06-02 22:09:54.776"
11199,A14180010877,24200,321228,"[DISCONTINUED] Garnier Pure Active Anti Acne White 20ml ",18381,369135149_ID-393100103,,8,27,27,,27,0,"2018-10-03 12:01:23.718"
11654,A28090039599,15000,228903,"MamaSuka Tepung Roti 200g",18411,MA523WNABE8AHUANID-114662225,,8,27,27,,26,10,"2022-06-02 22:08:05.386"
7567,A12740990644,7300,404858,"[LIVE ALFAMART] NANOXY Water 500ml",18476,NA931WNAB5MWDQANID-94139089,,8,27,27,,27,0,"2018-12-20 22:06:43.213"
11600,A27830000003,9700,114982,"[LIVE ALFAMIDI] Harpic Power Plus Original 200Ml",16278,369109911_ID-393074831,,8,27,27,,27,0,"2022-06-02 22:09:29.367"
29158,A6895600000943,36700,404263,"so Klin Softergent Deterjen Bubuk Cheerful Red 1,8 kg",18375,515302782_ID-701812161,,8,27,27,0,26,0,"2019-06-10 22:07:13.283"
4173,A12680006290,33900,116255,"Biore Body Foam Relaxing Aromatic 450 ml",1111,369125073_ID-393080429,,8,26,26,0,26,0,"2022-06-02 22:07:59.734"
27403,A6890610001057,3900,228076,"HAPPYDENT White Mint 14g 2pcs",9673,427866461_ID-494296807,,8,27,27,2,26,0,"2022-05-31 22:12:48.538"
8009,A12630040787,5700,125162,"Hemaviton Energy Drink Gingseng 250ml",18480,HE601WNABPRM4FANID-139116348,,8,27,27,,26,0,"2018-07-26 14:30:55.652"
12079,A03511351854,14100.0,420212,"[MIDI SUPER] FACKELMANN Bottle Opener",16510,,,8,27,27,,26,0,"2018-08-07 15:00:31.16"
27351,A6894550001086,16000,400330,"Frestea Madu Pet 350ml 4pcs",11286,427930898_ID-494010097,,8,27,27,4,27,0,"2022-05-29 22:08:10.915"
26701,A6866890000954,57900.0,406056,"[LAZ] PHILIPS Led Cool Daylight 6.5W",16807,418093343_ID-470505951,,8,27,27,,26,0,"2018-11-09 15:14:06.317"
16116,A03710254790,45500,128685,"[NEED TO CHECK] Green Leaf Lock 7226P",18388,352937896_ID-367840993,,8,27,27,,27,0,"2019-04-21 22:07:05.11"
6886,A07220042563,65800,370056,"[MIDI SUPER] soKlin Bio Matic Front Load 2kg",18381,,,8,27,27,,27,0,"2019-09-15 22:06:16.377"
